title,author,rating,date_read,date_added,isbn,pages,format
The 12 Week Year,"Moran, Brian P.",4.0,"Dec 09, 2025","Dec 08, 2025",,208,Nook
The Power of Habit: Why We Do What We Do in Life and Business,"Duhigg, Charles *",,not set,"Dec 08, 2025",1400069289,375,Hardcover
No Longer Human,"Dazai, Osamu",,not set,"Dec 06, 2025",,176,Paperback
Easy Way to Control Alcohol,"Carr, Allen",4.0,"Dec 03, 2025","Dec 03, 2025",0572028504,188,Paperback
"Funny, You Don't Look Autistic: A Comedian's Guide to Life on the Spectrum","McCreary, Michael",4.0,"Nov 30, 2025","Nov 30, 2025",1773212575,166,Paperback
438 Days: An Extraordinary True Story of Survival at Sea,"Franklin, Jonathan *",,not set,"Nov 18, 2025",1501116290,288,Hardcover
"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store","Flanders, Cait *",4.0,"Nov 12, 2025","Nov 12, 2025",1401954871,189,Hardcover
Windswept & Interesting: My Autobiography,"Connolly, Billy",5.0,"Nov 10, 2025","Nov 10, 2025",,356,Kindle Edition
The Heart Is a Lonely Hunter,"McCullers, Carson",,not set,"Nov 08, 2025",0618084746,359,Paperback
Eugene V. Debs Speaks,"Debs, Eugene V.",,not set,"Nov 07, 2025",0873481321,328,Paperback
Labor and Freedom,"Debs, Eugene V.",,not set,"Nov 07, 2025",,175,
Writings of Eugene V. Debs,"Debs, Eugene V.",,not set,"Nov 07, 2025",1934941484,172,Paperback
On Tyranny: Twenty Lessons from the Twentieth Century,"Snyder, Timothy *",4.0,"Nov 04, 2025","Nov 03, 2025",0804190119,127,Paperback
The Unbearable Lightness of Being,"Kundera, Milan",,not set,"Nov 02, 2025",0571224385,314,Paperback
Patrice Lumumba: Africa's Lost Leader,"Zeilig, Leo *",,not set,"Oct 30, 2025",190579102X,176,Paperback
"Lumumba Speaks: The Speeches and Writings of Patrice Lumumba, 1958-1961","Lumumba, Patrice",,not set,"Oct 30, 2025",0316536504,433,Paperback
Strategic Analytics: The Insights You Need from Harvard Business Review,Harvard Business Review,4.0,"Oct 30, 2025","Oct 29, 2025",1633698998,160,Kindle Edition
"Believe Me: A Memoir of Love, Death, and Jazz Chickens","Izzard, Eddie",5.0,"Oct 27, 2025","Oct 26, 2025",1611764696,15,Audio CD
"The AI-Powered Enterprise: Harness the Power of Ontologies to Make Your Business Smarter, Faster, and More Profitable","Earley, Seth",,not set,"Oct 16, 2025",1928055524,419,Kindle Edition
Through jungle and desert;: Travels in eastern Africa,"Chanler, William Astor",,not set,"Oct 13, 2025",0403004381,535,Hardcover
Can Everyone Please Calm Down?: A Guide to 21st Century Sexuality,"Martin, Mae",5.0,"Oct 11, 2025","Oct 11, 2025",152636171X,288,Kindle Edition
Mae Martin's Guide to 21st Century Addiction and Sexuality,"Martin, Mae",,not set,"Oct 11, 2025",1787537579,2,Audiobook
A Little Gay History: Desire and Diversity Around the World,"Parkinson, R.B.",,not set,"Oct 10, 2025",0714151009,128,Paperback
AFTERSHOCK: Essays from Hong Kong,"Chan, Holmes",,not set,"Oct 06, 2025",9887734578,91,Paperback
Maximum City: Bombay Lost and Found,"Mehta, Suketu",,not set,"Oct 04, 2025",0375703403,542,Paperback
Route 666: On the Road to Nirvana,"Arnold, Gina",,not set,"Oct 02, 2025",0312093764,228,Paperback
The Long Walk,"Bachman, Richard",4.0,Oct 2025,"Oct 01, 2025",0451196716,370,Mass Market Paperback
Embrace Discomfort: Lean Into Challenge to Improve Your Life,"Easter, Michael *",4.0,"Sep 29, 2025","Sep 29, 2025",,unknown,Audible Audio
