title,author,rating,date_read,date_added,isbn,pages,format
The 12 Week Year,"Moran, Brian P.",4.0,2025-12-09,2025-12-08,,208,Nook
The Power of Habit: Why We Do What We Do in Life and Business,"Duhigg, Charles *",,,2025-12-08,1400069289,375,Hardcover
No Longer Human,"Dazai, Osamu",,,2025-12-06,,176,Paperback
Easy Way to Control Alcohol,"Carr, Allen",4.0,2025-12-03,2025-12-03,0572028504,188,Paperback
"Funny, You Don't Look Autistic: A Comedian's Guide to Life on the Spectrum","McCreary, Michael",4.0,2025-11-30,2025-11-30,1773212575,166,Paperback
438 Days: An Extraordinary True Story of Survival at Sea,"Franklin, Johan *",,,2025-11-18,1501116290,288,Hardcover
"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store","Flanders, Cait *",4.0,2025-11-12,2025-11-12,1401954871,189,Hardcover
Windswept & Interesting: My Autobiography,"Connolly, Billy",5.0,2025-11-10,2025-11-10,,356,Kindle Edition
The Heart Is a Lonely Hunter,"McCullers, Carson",,,2025-11-08,0618084746,359,Paperback
Eugene V. Debs Speaks,"Debs, Eugene V.",,,2025-11-07,0873481321,328,Paperback
Labor and Freedom,"Debs, Eugene V.",,,2025-11-07,,175,
Writings of Eugene V. Debs,"Debs, Eugene V.",,,2025-11-07,1934941484,172,Paperback
On Tyranny: Twenty Lessons from the Twentieth Century,"Snyder, Timothy *",4.0,2025-11-04,2025-11-03,0804190119,127,Paperback
The Unbearable Lightness of Being,"Kundera, Milan",,,2025-11-02,0571224385,314,Paperback
Patrice Lumumba: Africa's Lost Leader,"Zeilig, Leo *",,,2025-10-30,190579102X,176,Paperback
"Lumumba Speaks: The Speeches and Writings of Patrice Lumumba, 1958-1961","Lumumba, Patrice",,,2025-10-30,0316536504,433,Paperback
Strategic Analytics: The Insights You Need from Harvard Business Review,Harvard Business Review,4.0,2025-10-30,2025-10-29,1633698998,160,Kindle Edition
"Believe Me: A Memoir of Love, Death, and Jazz Chickens","Izzard, Eddie",5.0,2025-10-27,2025-10-26,1611764696,15,Audio CD
"The AI-Powered Enterprise: Harness the Power of Ontologies to Make Your Business Smarter, Faster, and More Profitable","Earley, Seth",,,2025-10-16,1928055524,419,Kindle Edition
Through jungle and desert;: Travels in eastern Africa,"Chanler, William Astor",,,2025-10-13,0403004381,535,Hardcover
Can Everyone Please Calm Down?: A Guide to 21st Century Sexuality,"Martin, Mae",5.0,2025-10-11,2025-10-11,152636171X,288,Kindle Edition
Mae Martin's Guide to 21st Century Addiction and Sexuality,"Martin, Mae",,,2025-10-11,1787537579,2,Audiobook
