Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-23,FIlms I want to watch/rewatch soon,,https://boxd.it/tiy5s,

Position,Name,Year,URL,Description
1,One Cut of the Dead,2017,https://boxd.it/iAFu,
2,The Talented Mr. Ripley,1999,https://boxd.it/2924,
3,Cure,1997,https://boxd.it/1blA,
4,Beyond Utopia,2023,https://boxd.it/Eu34,
5,Pulse,2001,https://boxd.it/1s3y,
6,Poltergeist,1982,https://boxd.it/2a0o,
7,A Monster Calls,2016,https://boxd.it/7DjE,
8,Before Sunrise,1995,https://boxd.it/2bcU,
9,The Artifice Girl,2022,https://boxd.it/B8tI,
10,RRR,2022,https://boxd.it/ljDs,
11,Possession,1981,https://boxd.it/1BPm,
12,The Diving Bell and the Butterfly,2007,https://boxd.it/27Di,
13,"Paris, Texas",1984,https://boxd.it/29Ts,
14,Society of the Snow,2023,https://boxd.it/y9aw,
