Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-09-08,Horror ,,https://boxd.it/yB0mi,Horror films to watch/ re watch

Position,Name,Year,URL,Description
1,One Cut of the Dead,2017,https://boxd.it/iAFu,
2,Beetlejuice,1988,https://boxd.it/24QI,
3,Creep,2014,https://boxd.it/7l4c,
4,MaXXXine,2024,https://boxd.it/CIM4,
5,Saint Maud,2019,https://boxd.it/l8QA,
6,Persona,1966,https://boxd.it/29B4,
7,The Conjuring,2013,https://boxd.it/4sr2,
8,Sleepy Hollow,1999,https://boxd.it/26u0,
9,Eraserhead,1977,https://boxd.it/299u,
10,Nightcrawler,2014,https://boxd.it/780m,
11,28 Days Later,2002,https://boxd.it/2aXU,
12,Rear Window,1954,https://boxd.it/2a6Q,
13,It,1990,https://boxd.it/26tG,
14,Horns,2013,https://boxd.it/4J8Q,
15,The Babysitter,2017,https://boxd.it/eP1w,
16,Fresh,2022,https://boxd.it/tCNi,
17,Oculus,2013,https://boxd.it/4W9M,
18,Carrie,2013,https://boxd.it/4kC2,
19,Drag Me to Hell,2009,https://boxd.it/1Jzw,
20,Pearl,2022,https://boxd.it/zPbe,
21,American Psycho,2000,https://boxd.it/28Vs,
22,The Shining,1980,https://boxd.it/29Nu,
23,Doctor Sleep,2019,https://boxd.it/i5vI,
24,Christine,1983,https://boxd.it/1ZRQ,
25,The Thing,1982,https://boxd.it/294O,
26,Crawl,2019,https://boxd.it/iwYi,
27,It Follows,2014,https://boxd.it/87wo,
28,The Host,2006,https://boxd.it/28ZY,
29,The Fly,1986,https://boxd.it/1YIe,
30,Train to Busan,2016,https://boxd.it/dSQU,
31,Funny Games,1997,https://boxd.it/1WKM,
32,The Babadook,2014,https://boxd.it/77xu,
33,Donnie Darko,2001,https://boxd.it/2b2A,
34,Pan's Labyrinth,2006,https://boxd.it/28No,
35,Aliens,1986,https://boxd.it/29PA,
36,The Ring,2002,https://boxd.it/2a70,
37,Titane,2021,https://boxd.it/nlQC,
38,Hannibal,2001,https://boxd.it/1XVc,
39,Ring,1998,https://boxd.it/26tw,
40,I Know What You Did Last Summer,2025,https://boxd.it/EY8y,
