Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-11-25,Watch soon,,https://boxd.it/QiYdk,

Position,Name,Year,URL,Description
1,Green Room,2015,https://boxd.it/a75m,
2,The Raid,2011,https://boxd.it/3hBy,
3,The Act of Killing,2012,https://boxd.it/44Cg,
4,My Life as a Zucchini,2016,https://boxd.it/dL2y,
5,When Harry Met Sally...,1989,https://boxd.it/29W2,
6,The Breadwinner,2017,https://boxd.it/frLs,
7,Josie and the Pussycats,2001,https://boxd.it/1Fdm,
8,Finding Fela,2014,https://boxd.it/7lpE,
9,Gil Scott-Heron: The Revolution Will Not Be Televised,2003,https://boxd.it/g7NK,
10,They Cloned Tyrone,2023,https://boxd.it/rE7a,
11,Lars and the Real Girl,2007,https://boxd.it/21tG,
12,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,https://boxd.it/mihs,
13,Jungle Fever,1991,https://boxd.it/28fG,
14,Chernobyl,2019,https://boxd.it/mkbG,
15,Arrival,2016,https://boxd.it/aNGk,
16,Youth,2015,https://boxd.it/9Y7S,
17,Paddleton,2019,https://boxd.it/j4YQ,
18,Humpday,2009,https://boxd.it/1ySC,
19,Ponyo,2008,https://boxd.it/1S0A,
20,Akira,1988,https://boxd.it/2b1i,
21,Princess Mononoke,1997,https://boxd.it/2b4w,
22,Howl's Moving Castle,2004,https://boxd.it/23De,
23,Coraline,2009,https://boxd.it/1NhQ,
24,Best in Show,2000,https://boxd.it/1Pqq,
25,Missing Link,2019,https://boxd.it/gn0O,
26,WHAM!,2023,https://boxd.it/GSAU,
27,Bottoms,2023,https://boxd.it/uGf2,
28,On the Count of Three,2021,https://boxd.it/tbfI,
29,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
30,My Neighbor Totoro,1988,https://boxd.it/20eA,
31,Downtown '81,2000,https://boxd.it/1tCk,
32,Fantastic Planet,1973,https://boxd.it/1KnQ,
33,Spirited Away,2001,https://boxd.it/2b4m,
34,Punch-Drunk Love,2002,https://boxd.it/20E4,
35,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,
36,Labyrinth,1986,https://boxd.it/1POC,
37,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
38,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
